Division,Governors school, Numbers,Total HS,d_index,GS Rate
Smyth County,1,2,"1,339",0.112682231,0.149365198
Southampton County,1,12,837,0.541664541,1.433691756
Spotsylvania County,1,225,"7,634",0.620891771,2.947340844
Stafford County,1,240,"9,453",0.679455668,2.538876547
Staunton,1,41,755,0.525669802,5.430463576
Suffolk,1,31,"4,073",0.58857241,0.761109747
Surry County,1,6,249,0.539884323,2.409638554
Sussex County,1,8,316,0.410420953,2.53164557
Tazewell County,0,0,"1,742",0.133837232,0
Virginia Beach,1,3,"21,058",0.680335568,0.014246367
Warren County,1,139,"1,706",0.362165325,8.147713951
Washington County,1,28,"2,282",0.149411959,1.226993865
Waynesboro,1,4,837,0.62781412,0.477897252
West Point,0,38,273,0.659910112,13.91941392
Westmoreland County,1,0,456,0.462890388,0
Williamsburg-James City,1,26,"3,840",0.603560665,0.677083333
Winchester,1,0,"1,313",0.684023408,0
Wise County,1,59,"1,759",0.086936942,3.354178511
Wythe County,1,33,"1,306",0.156997532,2.526799387
York County,1,46,"4,102",0.607182476,1.121404193
,,,,,
,,,,,
